CATEGORY,TITLE,VALUE
exercise,running,I like running
exercise,walking,I like walking
exercise,cycling,I like cycling
exercise,pushups,I like pushups
exercise,situps,I like situps
exercise,basketball,I like basketball
exercise,tennis,I like tennis
exercise,Biking,I like Biking
exercise,jogging,I like jogging
exercise,netball,I like netball
exercise,swimming,I like swimming
exercise,biking,I like biking
exercise,plank,I like plank
exercise,squat,I like squat
exercise,boxing,I like boxing
exercise,rowing,I like rowing
exercise,aquarobics,I like aquarobics
exercise,dancing,I like dancing

