CATEGORY,TITLE,VALUE
food,Soup,I like Soup
breakfast,Muesli,I like Muesli
food,Beans,I like Beans
food,Rice,I like Rice
breakfast,Scambled egg,I like Scambled egg
lunch,Tuna Sandwich,I like Tuna Sandwich
lunch,Salmon Sandwich,I like Salmon Sandwich
breakfast,Oats & honey,I like Oats & honey
breakfast,Cereal,I like Cereal
food,Nuts in Salad,I like Nuts in Salad
food,Potatotes,I like Potatotes
food,Spaghetti,I like Spaghetti
food,Yoghurt,I like Yoghurt
dinner,Salad,I like Salad
dinner,Vegetables,I like Vegetables
food,Salad,I like Salad
food,Vegetables,I like Vegetables
